query-id	corpus-id	score
q-001	runner-change-runner-change-design-rules-read-before-any-edit-4-oscillation-check-model-the	1
q-001	runner-investigate-runner-investigate-root-cause-a-run-1-find-bad-runs-telemetry	1
q-001	runner-investigate-runner-investigate-root-cause-a-run-3-paste-able-investigation-prompt	1
q-001	runner-telemetry-runner-telemetry-investigation-optimization-query-cookbook	1
q-001	runner-telemetry-runner-telemetry-investigation-optimization-reading-the-signal-1360d84d	1
q-002	runner-change-runner-change-design-rules-read-before-any-edit-2-gate-tool-contract-no-tool	1
q-002	runner-guide-runner-guide-the-single-entry-point-master-routing-table-symptom-exact-a3cab9f3	1
q-002	runner-telemetry-runner-telemetry-investigation-optimization-columns-that-drive-diagnosis	1
q-003	runner-operate-runner-operate-launch-a-run-canonical-invocation	1
q-003	runner-telemetry-runner-telemetry-investigation-optimization-columns-that-drive-diagnosis	1
q-003	runner-telemetry-runner-telemetry-investigation-optimization-reading-the-signal-1360d84d	1
q-004	ts-e2e-testing-e2e-testing-with-playwright	1
q-004	ts-e2e-testing-e2e-testing-with-playwright-flow-style-mandatory	1
q-004	ts-e2e-testing-e2e-testing-with-playwright-i18n-driven-text-rule-mandatory	1
q-004	ts-e2e-testing-e2e-testing-with-playwright-locale-parametrization-mandatory-for-any-spec	1
q-004	ts-e2e-testing-e2e-testing-with-playwright-test-independence	1
q-005	ts-testing-common-testing-standards-layered-test-model-adr-018-supersedes-adr-005-six-l3	1
q-005	ts-testing-common-testing-standards-snapshot-format-policy-adr-018	1
q-006	runner-guide-runner-guide-the-single-entry-point-master-routing-table-symptom-exact-8488f65d	1
q-006	runner-investigate-runner-investigate-root-cause-a-run-10-context-window-method-what-grew-1c98fae0	1
q-006	runner-investigate-runner-investigate-root-cause-a-run-9-drive-scope-vs-gate-scope-method	1
q-006	runner-investigate-runner-investigate-root-cause-a-run-triage-symptom-method	1
q-007	adr-024-huggingface-transformers-perplexity-adr-024-huggingface-transformers-for-in-browser-40ac4dd7	1
q-007	adr-024-huggingface-transformers-perplexity-adr-024-huggingface-transformers-for-in-browser-48d8eb61	1
q-007	adr-024-huggingface-transformers-perplexity-adr-024-huggingface-transformers-for-in-browser-b08d5b9b	1
q-008	ts-dependency-governance-dependency-governance-heavy-binary-wasm-asset-gate	1
q-009	runner-map-runner-map-what-is-where-working-commands-scope-run-navigate-mandatory-c3b7685b	1
q-010	runner-investigate-runner-investigate-root-cause-a-run-1-find-bad-runs-telemetry	1
q-010	runner-telemetry-runner-telemetry-investigation-optimization-query-cookbook	1
q-010	runner-telemetry-runner-telemetry-investigation-optimization-reading-the-signal-1360d84d	1
